stage,vus,operation,total_requests,successful,failed,error_rate_pct,avg_ms,p95_ms,max_ms,throughput_rps
5VU,5,login,5,5,0,0.0,705.0,849.8,849.8,0.04
5VU,5,dashboard,217,217,0,0.0,387.7,501.2,2347.2,1.74
5VU,5,severity_view,217,217,0,0.0,334.5,411.0,2404.7,1.74
5VU,5,history,217,217,0,0.0,353.3,422.5,2357.7,1.74
5VU,5,upload,217,217,0,0.0,462.5,707.6,2542.5,1.74
5VU,5,report,217,217,0,0.0,1049.3,1165.2,3216.6,1.74
5VU,5,OVERALL,1090,1090,0,0.0,518.3,1022.4,3216.6,8.72
10VU,10,login,10,10,0,0.0,926.2,1021.7,1021.7,0.08
10VU,10,dashboard,430,429,1,0.23,332.5,386.3,1347.9,3.44
10VU,10,severity_view,430,430,0,0.0,335.9,401.4,2398.3,3.44
10VU,10,history,430,430,0,0.0,347.5,414.5,2274.4,3.44
10VU,10,upload,430,430,0,0.0,453.4,583.5,2480.1,3.44
10VU,10,report,430,430,0,0.0,1130.3,2807.5,3291.0,3.44
10VU,10,OVERALL,2160,2159,1,0.05,521.8,1050.4,3291.0,17.28
20VU,20,login,20,20,0,0.0,3579.5,3604.9,3627.6,0.16
20VU,20,dashboard,850,850,0,0.0,363.5,453.0,2333.0,6.8
20VU,20,severity_view,850,849,1,0.12,339.1,396.2,2335.5,6.8
20VU,20,history,850,850,0,0.0,348.7,400.0,2356.3,6.8
20VU,20,upload,850,850,0,0.0,452.4,643.0,2377.8,6.8
20VU,20,report,850,849,1,0.12,1075.5,1324.3,3134.9,6.8
20VU,20,OVERALL,4270,4268,2,0.05,530.2,1048.1,3627.6,34.16
30VU,30,login,30,30,0,0.0,3782.0,3886.6,3906.2,0.24
30VU,30,dashboard,1117,1117,0,0.0,411.1,1321.8,3375.9,8.94
30VU,30,severity_view,1117,1115,2,0.18,434.8,1331.0,7378.4,8.94
30VU,30,history,1117,1115,2,0.18,424.8,1328.2,8598.6,8.94
30VU,30,upload,1117,1114,3,0.27,550.0,1449.4,8539.0,8.94
30VU,30,report,1117,1114,3,0.27,1253.5,2991.6,9047.7,8.94
30VU,30,OVERALL,5615,5605,10,0.18,631.8,1465.1,9047.7,44.92
